"brand","title","price","url"
"Asics","Zapatos Asics Skyhand Unisex","115.92","https://fitpoint.ec/zapatos-asics-skyhand-unisex-1203a451-asi-301.html"
"Asics","Zapatos Asics Gel-Rocket 12 Mujer","91.92","https://fitpoint.ec/zapatos-asics-gel-rocket-12-mujer-1072a119-asi-400.html"
"Asics","Zapatos Asics Gel-Rocket 12 Hombre","91.92","https://fitpoint.ec/zapatos-asics-gel-rocket-12-hombre-1071a116-asi-400-01.html"
"Asics","Zapatos Asics Gel-Rocket 12 Hombre","91.92","https://fitpoint.ec/zapatos-asics-gel-rocket-12-hombre-1071a116-asi-001.html"
"Asics","Zapatos Asics Gt-1000 14 Mujer","123.92","https://fitpoint.ec/zapatos-asics-gt-1000-14-mujer-1012b859-asi-400-02.html"
"Asics","Zapatos Asics Gel-Venture 10 Mujer","91.92","https://fitpoint.ec/zapatos-asics-gel-venture-10-mujer-1012b759-asi-003.html"
"Asics","Zapatos Asics Gel-Pulse 16 Mujer","115.92","https://fitpoint.ec/zapatos-asics-gel-pulse-16-mujer-1012b755-asi-021-01.html"
"Asics","Zapatos Asics Gel-Contend 9 Mujer","83.92","https://fitpoint.ec/zapatos-asics-gel-contend-9-mujer-1012b681-asi-005.html"
"Asics","Zapatos Asics Trail Scout 3 Mujer","75.92","https://fitpoint.ec/zapatos-asics-trail-scout-3-mujer-1012b516-asi-404.html"
"Asics","Zapatos Asics Novablast 5 Hombre","159.92","https://fitpoint.ec/zapatos-asics-novablast-5-hombre-1011b974-asi-003.html"
"Asics","Zapatos Asics Gel-Trabuco 13 Hombre","159.92","https://fitpoint.ec/zapatos-asics-gel-trabuco-13-hombre-1011b973-asi-801.html"
"Asics","Zapatos Asics Gel-Trabuco 13 Hombre","159.92","https://fitpoint.ec/zapatos-asics-gel-trabuco-13-hombre-1011b973-asi-002.html"
"Asics","Zapatos Asics Gel-Pulse 16 Hombre","115.92","https://fitpoint.ec/zapatos-asics-gel-pulse-16-hombre-1011b962-asi-402.html"
"Asics","Zapatos Asics Gel-Contend 9 Hombre","83.92","https://fitpoint.ec/zapatos-asics-gel-contend-9-hombre-1011b881-asi-005.html"
"Asics","Zapatos Asics Trail Scout 3 Hombre","75.92","https://fitpoint.ec/zapatos-asics-trail-scout-3-hombre-1011b700-asi-006.html"
"Asics","Zapatos Asics Versablast 4 Mujer","80.43","https://fitpoint.ec/zapatos-asics-versablast-4-mujer-1012b775-asi-500.html"
"Asics","Zapatos Asics Hyper Speed 4 Mujer","80.94","https://fitpoint.ec/zapatos-asics-hyper-speed-4-mujer-1012b677-asi-400-04.html"
"Asics","Zapatos Asics Noosa Tri 16 Mujer","129.43","https://fitpoint.ec/zapatos-asics-noosa-tri-16-mujer-1012b675-asi-701.html"
"Asics","Zapatos Asics Noosa Tri 16 Mujer","129.43","https://fitpoint.ec/zapatos-asics-noosa-tri-16-mujer-1012b675-asi-700.html"
"Asics","Zapatos Asics Versablast 4 Hombre","80.43","https://fitpoint.ec/zapatos-asics-versablast-4-hombre-1011b984-asi-400-03.html"
"Asics","Zapatos Asics Versablast 4 Hombre","80.43","https://fitpoint.ec/zapatos-asics-versablast-4-hombre-1011b984-asi-002-02.html"
"Asics","Zapatos Asics Gel-Sonoma 8 Hombre","87.43","https://fitpoint.ec/zapatos-asics-gel-sonoma-8-hombre-1011b979-asi-400-02.html"
"Asics","Zapatos Asics Novablast 5 Hombre","139.93","https://fitpoint.ec/zapatos-asics-novablast-5-hombre-1011b974-asi-402.html"
"Asics","Zapatos Asics Jolt 5 Hombre","66.43","https://fitpoint.ec/zapatos-asics-jolt-5-hombre-1011b963-asi-100-01.html"
"Asics","Zapatos Asics Jolt 5 Hombre","66.43","https://fitpoint.ec/zapatos-asics-jolt-5-hombre-1011b963-asi-020-01.html"
"Asics","Zapatos Asics Jolt 5 Hombre","66.43","https://fitpoint.ec/zapatos-asics-jolt-5-hombre-1011b963-asi-002-01.html"
"Asics","Zapatos Asics Gel-Cumulus 27 Hombre","129.43","https://fitpoint.ec/zapatos-asics-gel-cumulus-27-hombre-1011b960-asi-400-01.html"
"Asics","Zapatos Asics Gel-Trabuco Terra 2 Hombre","115.43","https://fitpoint.ec/zapatos-asics-gel-trabuco-terra-2-hombre-1011b607-asi-301.html"
"Asics","Zapatos Asics Dynablast 5 Mujer","115.43","https://fitpoint.ec/zapatos-asics-dynablast-5-mujer-1012b776-asi-500.html"
